episodes,% time spent exploring,mean 100 episode reward,steps,reward
824,10,87.6,42821,71.0
825,10,87.1,42882,61.0
826,10,86.6,42918,36.0
827,10,86.9,42993,75.0
828,10,87.4,43077,84.0
829,10,87.3,43146,69.0
830,10,86.6,43193,47.0
831,10,86.6,43266,73.0
832,10,86.5,43318,52.0
833,10,85.8,43394,76.0
834,10,85.1,43452,58.0
835,10,84.3,43511,59.0
836,10,83.3,43527,16.0
837,10,82.7,43580,53.0
838,10,82.7,43634,54.0
839,10,82.4,43661,27.0
840,10,81.8,43713,52.0
841,10,81.4,43765,52.0
842,10,80.6,43788,23.0
843,10,80.9,43828,40.0
844,10,80.4,43890,62.0
845,10,79.5,43948,58.0
846,10,79.3,43992,44.0
847,10,78.5,44004,12.0
848,10,78.0,44014,10.0
849,10,78.0,44075,61.0
850,10,77.7,44143,68.0
851,10,77.3,44161,18.0
852,10,77.9,44245,84.0
853,10,77.6,44305,60.0
854,10,77.4,44366,61.0
855,10,77.0,44444,78.0
856,10,76.8,44494,50.0
857,10,76.6,44569,75.0
858,10,76.5,44636,67.0
859,10,76.3,44697,61.0
860,10,76.4,44782,85.0
861,10,76.8,44859,77.0
862,10,76.8,44944,85.0
863,10,76.8,45032,88.0
864,10,76.5,45054,22.0
865,10,76.5,45136,82.0
866,10,76.4,45168,32.0
867,10,76.3,45244,76.0
868,10,75.5,45257,13.0
869,10,75.4,45328,71.0
870,10,75.3,45345,17.0
871,10,75.3,45356,11.0
872,10,74.7,45372,16.0
873,10,74.8,45455,83.0
874,10,74.1,45474,19.0
875,10,74.1,45576,102.0
876,10,75.2,45776,200.0
877,10,75.4,45882,106.0
878,10,75.3,45961,79.0
879,10,74.3,46011,50.0
880,10,73.1,46085,74.0
881,10,71.9,46160,75.0
882,10,71.9,46266,106.0
883,10,71.9,46358,92.0
884,10,71.5,46439,81.0
885,10,71.1,46509,70.0
886,10,71.0,46598,89.0
887,10,70.8,46709,111.0
888,10,70.2,46783,74.0
889,10,70.1,46864,81.0
890,10,70.1,46950,86.0
891,10,70.2,47062,112.0
892,10,70.3,47150,88.0
893,10,70.1,47230,80.0
894,10,69.9,47309,79.0
895,10,70.0,47397,88.0
896,10,69.6,47472,75.0
897,10,68.6,47570,98.0
898,10,67.9,47705,135.0
899,10,66.9,47798,93.0
900,10,66.9,47998,200.0
901,10,67.3,48114,116.0
902,10,67.2,48229,115.0
903,10,67.4,48333,104.0
904,10,67.8,48426,93.0
905,10,68.8,48539,113.0
906,10,69.0,48638,99.0
907,10,68.8,48703,65.0
908,10,68.8,48720,17.0
909,10,69.3,48796,76.0
910,10,69.2,48871,75.0
911,10,69.5,48946,75.0
912,10,69.6,49035,89.0
913,10,71.3,49235,200.0
914,10,71.9,49321,86.0
915,10,73.2,49521,200.0
916,10,73.6,49631,110.0
917,10,75.2,49831,200.0
918,10,75.6,49949,118.0
919,10,75.7,50024,75.0
920,10,75.5,50078,54.0
921,10,75.7,50169,91.0
922,10,76.2,50276,107.0
923,10,75.7,50324,48.0
924,10,75.7,50388,64.0
925,10,75.7,50452,64.0
926,10,75.4,50462,10.0
927,10,75.6,50548,86.0
928,10,75.6,50636,88.0
929,10,76.2,50765,129.0
930,10,77.0,50897,132.0
931,10,77.8,51042,145.0
932,10,78.0,51116,74.0
