steps,mean 100 episode reward,% time spent exploring,reward,head,episodes
57000,-173.2,9,-153.0,0,302
57144,-173.1,9,-144.0,6,303
57344,-173.5,9,-200.0,4,304
57528,-173.3,9,-184.0,2,305
57672,-172.8,9,-144.0,4,306
57845,-172.7,9,-173.0,6,307
58045,-173.1,9,-200.0,3,308
58200,-172.7,9,-155.0,3,309
58400,-172.8,9,-200.0,7,310
58562,-172.9,9,-162.0,8,311
58762,-173.4,9,-200.0,5,312
58936,-173.7,9,-174.0,0,313
59098,-173.7,9,-162.0,8,314
59244,-173.6,9,-146.0,5,315
59405,-173.2,9,-161.0,4,316
59563,-173.1,9,-158.0,7,317
59716,-172.6,9,-153.0,4,318
59873,-172.6,9,-157.0,1,319
60027,-172.5,9,-154.0,3,320
60227,-172.5,9,-200.0,3,321
60427,-172.5,9,-200.0,9,322
60580,-172.0,9,-153.0,2,323
60780,-172.4,9,-200.0,5,324
60942,-172.4,9,-162.0,2,325
61101,-172.4,9,-159.0,3,326
61256,-172.4,9,-155.0,5,327
61410,-172.4,9,-154.0,7,328
61561,-171.9,9,-151.0,2,329
61718,-171.7,9,-157.0,7,330
61881,-171.6,9,-163.0,1,331
62027,-171.1,9,-146.0,6,332
62186,-170.8,9,-159.0,5,333
62386,-171.4,9,-200.0,0,334
62476,-170.3,9,-90.0,0,335
62676,-170.8,9,-200.0,3,336
62840,-170.4,9,-164.0,1,337
63040,-170.9,9,-200.0,9,338
63144,-170.5,9,-104.0,9,339
63298,-170.0,9,-154.0,6,340
63392,-169.4,9,-94.0,6,341
63491,-168.4,9,-99.0,7,342
63691,-168.4,9,-200.0,8,343
63891,-168.8,9,-200.0,8,344
64045,-168.3,9,-154.0,7,345
64213,-168.2,9,-168.0,0,346
64413,-168.2,9,-200.0,8,347
64613,-168.8,9,-200.0,6,348
64760,-168.2,9,-147.0,8,349
64909,-168.1,9,-149.0,9,350
65060,-167.6,9,-151.0,8,351
65260,-168.3,9,-200.0,3,352
65409,-167.8,9,-149.0,6,353
65563,-168.0,9,-154.0,1,354
65723,-167.6,9,-160.0,7,355
65814,-166.5,9,-91.0,4,356
66014,-166.8,9,-200.0,9,357
66203,-166.7,9,-189.0,2,358
66370,-167.0,9,-167.0,0,359
66540,-166.8,9,-170.0,8,360
66693,-166.5,9,-153.0,2,361
66862,-166.2,9,-169.0,7,362
67019,-166.5,9,-157.0,8,363
67219,-167.0,9,-200.0,4,364
67378,-167.0,9,-159.0,4,365
67535,-166.9,9,-157.0,1,366
67686,-166.4,9,-151.0,7,367
67886,-166.4,9,-200.0,6,368
68052,-166.7,9,-166.0,9,369
68143,-166.0,9,-91.0,4,370
68293,-165.6,9,-150.0,1,371
68465,-165.9,9,-172.0,5,372
68618,-165.7,9,-153.0,9,373
68818,-165.7,9,-200.0,7,374
68982,-165.5,9,-164.0,1,375
69172,-165.9,9,-190.0,3,376
69372,-165.9,9,-200.0,5,377
69572,-166.0,9,-200.0,7,378
69727,-166.0,9,-155.0,3,379
69927,-166.5,9,-200.0,6,380
70127,-166.9,9,-200.0,6,381
70327,-166.9,9,-200.0,7,382
70527,-167.4,9,-200.0,9,383
70686,-167.0,9,-159.0,1,384
70858,-166.7,9,-172.0,9,385
71016,-166.7,9,-158.0,6,386
71180,-166.5,9,-164.0,0,387
71380,-166.5,9,-200.0,3,388
71545,-166.1,9,-165.0,8,389
71701,-166.2,9,-156.0,4,390
71901,-166.3,9,-200.0,1,391
72071,-166.4,9,-170.0,4,392
72239,-166.6,9,-168.0,5,393
72334,-166.1,9,-95.0,0,394
72534,-166.1,9,-200.0,3,395
72716,-166.4,9,-182.0,1,396
72894,-166.4,9,-178.0,4,397
73055,-166.6,9,-161.0,4,398
73255,-167.1,9,-200.0,4,399
73455,-167.5,9,-200.0,0,400
73655,-168.1,9,-200.0,0,401
73817,-168.2,9,-162.0,8,402
74015,-168.7,9,-198.0,4,403
74200,-168.6,9,-185.0,6,404
74381,-168.5,9,-181.0,9,405
74556,-168.8,9,-175.0,3,406
74756,-169.1,9,-200.0,3,407
74934,-168.9,9,-178.0,2,408
75093,-168.9,9,-159.0,1,409
75255,-168.6,9,-162.0,2,410
75366,-168.0,9,-111.0,1,411
75530,-167.7,9,-164.0,3,412
75705,-167.7,9,-175.0,4,413
75848,-167.5,9,-143.0,1,414
76048,-168.0,9,-200.0,1,415
76207,-168.0,9,-159.0,0,416
76360,-168.0,9,-153.0,7,417
76560,-168.4,9,-200.0,8,418
76659,-167.9,9,-99.0,4,419
76815,-167.9,9,-156.0,3,420
76902,-166.8,9,-87.0,5,421
77102,-166.8,9,-200.0,6,422
77248,-166.7,9,-146.0,3,423
77406,-166.3,9,-158.0,2,424
77605,-166.6,9,-199.0,9,425
77767,-166.7,9,-162.0,8,426
77967,-167.1,9,-200.0,1,427
78167,-167.6,9,-200.0,4,428
78367,-168.1,9,-200.0,0,429
78524,-168.1,9,-157.0,8,430
78716,-168.4,9,-192.0,3,431
78860,-168.3,9,-144.0,9,432
79010,-168.2,9,-150.0,5,433
79161,-167.8,9,-151.0,5,434
79260,-167.8,9,-99.0,1,435
79425,-167.5,9,-165.0,7,436
79625,-167.8,9,-200.0,8,437
79722,-166.8,9,-97.0,6,438
79872,-167.3,9,-150.0,4,439
80026,-167.3,9,-154.0,7,440
80181,-167.9,9,-155.0,3,441
80334,-168.4,9,-153.0,5,442
80480,-167.9,9,-146.0,3,443
80657,-167.7,9,-177.0,6,444
80857,-168.1,9,-200.0,4,445
81057,-168.4,9,-200.0,7,446
81221,-168.1,9,-164.0,3,447
81375,-167.6,9,-154.0,0,448
81531,-167.7,9,-156.0,5,449
81640,-167.3,9,-109.0,9,450
81797,-167.4,9,-157.0,3,451
81938,-166.8,9,-141.0,7,452
82093,-166.8,9,-155.0,5,453
82196,-166.3,9,-103.0,5,454
82345,-166.2,9,-149.0,8,455
82537,-167.2,9,-192.0,0,456
82681,-166.7,9,-144.0,8,457
82765,-165.6,9,-84.0,3,458
82910,-165.4,9,-145.0,6,459
83078,-165.4,9,-168.0,9,460
83218,-165.2,9,-140.0,3,461
83313,-164.5,9,-95.0,2,462
83404,-163.8,9,-91.0,7,463
83584,-163.6,9,-180.0,0,464
83731,-163.5,9,-147.0,3,465
83883,-163.5,9,-152.0,0,466
84080,-163.9,9,-197.0,3,467
84232,-163.5,9,-152.0,6,468
84379,-163.3,9,-147.0,1,469
84547,-164.0,9,-168.0,9,470
84709,-164.2,9,-162.0,2,471
84866,-164.0,9,-157.0,9,472
84953,-163.4,9,-87.0,4,473
85153,-163.4,9,-200.0,9,474
85348,-163.7,9,-195.0,1,475
85492,-163.2,9,-144.0,3,476
85645,-162.7,9,-153.0,2,477
85792,-162.2,9,-147.0,4,478
85944,-162.2,9,-152.0,9,479
86096,-161.7,9,-152.0,7,480
86253,-161.3,9,-157.0,4,481
86406,-160.8,9,-153.0,9,482
86598,-160.7,9,-192.0,4,483
86740,-160.5,9,-142.0,1,484
86829,-159.7,9,-89.0,2,485
86974,-159.6,9,-145.0,7,486
87118,-159.4,9,-144.0,2,487
87263,-158.8,9,-145.0,3,488
87446,-159.0,9,-183.0,9,489
87543,-158.4,9,-97.0,7,490
87688,-157.9,9,-145.0,6,491
87834,-157.6,9,-146.0,6,492
87924,-156.8,9,-90.0,2,493
88010,-156.8,9,-86.0,3,494
88163,-156.3,9,-153.0,6,495
88256,-155.4,9,-93.0,0,496
88351,-154.6,9,-95.0,8,497
88510,-154.6,9,-159.0,0,498
88685,-154.3,9,-175.0,7,499
88850,-154.0,9,-165.0,6,500
88994,-153.4,9,-144.0,5,501
89141,-153.2,9,-147.0,9,502
89305,-152.9,9,-164.0,6,503
89396,-152.0,9,-91.0,5,504
89542,-151.6,9,-146.0,2,505
89695,-151.4,9,-153.0,7,506
89838,-150.8,9,-143.0,1,507
89931,-150.0,9,-93.0,9,508
90079,-149.9,9,-148.0,2,509
90235,-149.8,9,-156.0,2,510
90379,-150.1,9,-144.0,5,511
90554,-150.2,9,-175.0,6,512
90702,-150.0,9,-148.0,4,513
90852,-150.0,9,-150.0,2,514
91002,-149.5,9,-150.0,2,515
91148,-149.4,9,-146.0,1,516
91297,-149.4,9,-149.0,0,517
91446,-148.9,9,-149.0,9,518
91594,-149.4,9,-148.0,0,519
91788,-149.7,9,-194.0,2,520
91941,-150.4,9,-153.0,8,521
92113,-150.1,9,-172.0,3,522
92253,-150.0,9,-140.0,0,523
92420,-150.1,9,-167.0,8,524
92580,-149.8,9,-160.0,8,525
92728,-149.6,9,-148.0,1,526
92874,-149.1,9,-146.0,0,527
93018,-148.5,9,-144.0,5,528
93161,-147.9,9,-143.0,8,529
