episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
443,9,7,-200.0,-200.0,88399
444,9,6,-200.0,-200.0,88599
445,9,4,-200.0,-200.0,88799
446,9,6,-200.0,-200.0,88999
447,9,3,-200.0,-200.0,89199
448,9,1,-200.0,-200.0,89399
449,9,9,-200.0,-200.0,89599
450,9,2,-200.0,-200.0,89799
451,9,4,-200.0,-200.0,89999
452,9,2,-200.0,-200.0,90199
453,9,8,-200.0,-200.0,90399
454,9,8,-200.0,-200.0,90599
455,9,9,-200.0,-200.0,90799
456,9,3,-200.0,-200.0,90999
457,9,5,-200.0,-200.0,91199
458,9,3,-200.0,-200.0,91399
459,9,1,-200.0,-200.0,91599
460,9,4,-200.0,-200.0,91799
461,9,5,-200.0,-200.0,91999
462,9,4,-200.0,-200.0,92199
463,9,9,-200.0,-200.0,92399
464,9,7,-200.0,-200.0,92599
465,9,9,-200.0,-200.0,92799
466,9,9,-200.0,-200.0,92999
467,9,9,-200.0,-200.0,93199
468,9,4,-200.0,-200.0,93399
469,9,0,-200.0,-200.0,93599
470,9,9,-200.0,-200.0,93799
471,9,4,-200.0,-200.0,93999
472,9,2,-200.0,-200.0,94199
473,9,2,-200.0,-200.0,94399
474,9,7,-200.0,-200.0,94599
475,9,7,-200.0,-200.0,94799
476,9,6,-200.0,-200.0,94999
477,9,0,-200.0,-200.0,95199
478,9,9,-200.0,-200.0,95399
479,9,6,-200.0,-200.0,95599
480,9,1,-200.0,-200.0,95799
481,9,2,-200.0,-200.0,95999
482,9,2,-200.0,-200.0,96199
483,9,6,-200.0,-200.0,96399
484,9,3,-200.0,-200.0,96599
485,9,1,-200.0,-200.0,96799
486,9,6,-200.0,-200.0,96999
487,9,3,-200.0,-200.0,97199
488,9,7,-200.0,-200.0,97399
489,9,2,-200.0,-200.0,97599
490,9,0,-200.0,-200.0,97799
491,9,6,-200.0,-200.0,97999
492,9,4,-200.0,-200.0,98199
493,9,9,-200.0,-200.0,98399
494,9,2,-200.0,-200.0,98599
495,9,8,-200.0,-200.0,98799
496,9,0,-200.0,-200.0,98999
497,9,1,-200.0,-200.0,99199
498,9,9,-200.0,-200.0,99399
499,9,9,-200.0,-200.0,99599
500,9,7,-200.0,-200.0,99799
501,9,3,-200.0,-200.0,99999
502,9,9,-200.0,-200.0,100199
503,9,9,-200.0,-200.0,100399
