reward,% time spent exploring,mean 100 episode reward,episodes,head,steps
-200.0,9,-200.0,420,7,83799
-200.0,9,-200.0,421,9,83999
-200.0,9,-200.0,422,5,84199
-200.0,9,-200.0,423,9,84399
-200.0,9,-200.0,424,0,84599
-200.0,9,-200.0,425,7,84799
-200.0,9,-200.0,426,8,84999
-200.0,9,-200.0,427,9,85199
-200.0,9,-200.0,428,9,85399
-200.0,9,-200.0,429,5,85599
-200.0,9,-200.0,430,0,85799
-200.0,9,-200.0,431,5,85999
-200.0,9,-200.0,432,9,86199
-200.0,9,-200.0,433,9,86399
-200.0,9,-200.0,434,1,86599
-200.0,9,-200.0,435,4,86799
-200.0,9,-200.0,436,9,86999
-200.0,9,-200.0,437,6,87199
-200.0,9,-200.0,438,2,87399
-200.0,9,-200.0,439,3,87599
-200.0,9,-200.0,440,4,87799
-200.0,9,-200.0,441,7,87999
-200.0,9,-200.0,442,4,88199
-200.0,9,-200.0,443,7,88399
-200.0,9,-200.0,444,6,88599
-200.0,9,-200.0,445,4,88799
-200.0,9,-200.0,446,6,88999
-200.0,9,-200.0,447,3,89199
-200.0,9,-200.0,448,1,89399
-200.0,9,-200.0,449,9,89599
-200.0,9,-200.0,450,2,89799
-200.0,9,-200.0,451,4,89999
-200.0,9,-200.0,452,2,90199
-200.0,9,-200.0,453,8,90399
-200.0,9,-200.0,454,8,90599
-200.0,9,-200.0,455,9,90799
-200.0,9,-200.0,456,3,90999
-200.0,9,-200.0,457,5,91199
-200.0,9,-200.0,458,3,91399
-200.0,9,-200.0,459,1,91599
-200.0,9,-200.0,460,4,91799
-200.0,9,-200.0,461,5,91999
-200.0,9,-200.0,462,4,92199
-200.0,9,-200.0,463,9,92399
-200.0,9,-200.0,464,7,92599
-200.0,9,-200.0,465,9,92799
-200.0,9,-200.0,466,9,92999
-200.0,9,-200.0,467,9,93199
-200.0,9,-200.0,468,4,93399
-200.0,9,-200.0,469,0,93599
-200.0,9,-200.0,470,9,93799
-200.0,9,-200.0,471,4,93999
-200.0,9,-200.0,472,2,94199
-200.0,9,-200.0,473,2,94399
-200.0,9,-200.0,474,7,94599
-200.0,9,-200.0,475,7,94799
-200.0,9,-200.0,476,6,94999
-200.0,9,-200.0,477,0,95199
-200.0,9,-200.0,478,9,95399
-200.0,9,-200.0,479,6,95599
-200.0,9,-200.0,480,1,95799
-200.0,9,-200.0,481,2,95999
-200.0,9,-200.0,482,2,96199
-200.0,9,-200.0,483,6,96399
-200.0,9,-200.0,484,3,96599
-200.0,9,-200.0,485,1,96799
-200.0,9,-200.0,486,6,96999
-200.0,9,-200.0,487,3,97199
-200.0,9,-200.0,488,7,97399
-200.0,9,-200.0,489,2,97599
-200.0,9,-200.0,490,0,97799
-200.0,9,-200.0,491,6,97999
-200.0,9,-200.0,492,4,98199
-200.0,9,-200.0,493,9,98399
-200.0,9,-200.0,494,2,98599
-200.0,9,-200.0,495,8,98799
-200.0,9,-200.0,496,0,98999
-200.0,9,-200.0,497,1,99199
-200.0,9,-200.0,498,9,99399
-200.0,9,-200.0,499,9,99599
-200.0,9,-200.0,500,7,99799
-200.0,9,-200.0,501,3,99999
