% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
9,211,5,12389,0.0,0.03800000000000003
9,212,2,12448,0.0,0.023000000000000013
9,213,9,12507,0.0,0.012000000000000004
9,214,7,12566,0.0,0.05000000000000004
9,215,1,12625,0.0,0.04500000000000003
9,216,7,12684,0.0,0.05100000000000004
9,217,0,12743,0.0,0.05300000000000004
9,218,2,12802,0.0,0.059000000000000045
9,219,6,12861,0.0,0.058000000000000045
9,220,9,12920,0.0,0.03300000000000002
9,221,4,12979,0.0,0.03200000000000002
9,222,5,13038,0.0,0.02100000000000001
9,223,0,13097,0.0,0.05400000000000004
9,224,6,13156,0.0,0.058000000000000045
9,225,4,13215,0.0,0.05500000000000004
9,226,8,13274,0.0,0.012000000000000004
9,227,4,13333,0.0,0.05000000000000004
9,228,6,13392,0.0,0.04100000000000003
9,229,7,13451,0.0,0.03400000000000002
9,230,6,13510,0.0,0.01800000000000001
9,231,9,13569,0.0,0.05400000000000004
9,232,0,13628,0.0,0.03100000000000002
9,233,9,13687,0.0,0.025000000000000015
9,234,6,13746,0.0,0.05600000000000004
9,235,4,13805,0.0,0.03800000000000003
9,236,7,13864,0.0,0.058000000000000045
9,237,8,13923,0.0,0.02100000000000001
9,238,4,13982,0.0,0.057000000000000044
9,239,6,14041,0.0,0.05500000000000004
9,240,7,14100,0.0,0.058000000000000045
9,241,7,14159,0.0,0.04000000000000003
9,242,5,14218,0.0,0.028000000000000018
9,243,6,14277,0.0,0.01900000000000001
9,244,1,14336,0.0,0.05300000000000004
9,245,4,14395,0.0,0.03800000000000003
9,246,9,14454,0.0,0.04500000000000003
9,247,4,14513,0.0,0.05100000000000004
9,248,9,14572,0.0,0.035000000000000024
9,249,5,14631,0.0,0.047000000000000035
9,250,7,14690,0.0,0.03800000000000003
9,251,5,14749,0.0,0.0
9,252,4,14808,0.0,0.05100000000000004
9,253,0,14867,0.0,0.04300000000000003
9,254,7,14926,0.0,0.04200000000000003
9,255,3,14985,0.0,0.05600000000000004
9,256,8,15044,0.0,0.05200000000000004
9,257,7,15103,0.0,0.04400000000000003
9,258,0,15162,0.0,0.05300000000000004
9,259,3,15221,0.0,0.02000000000000001
9,260,3,15280,0.0,0.02100000000000001
9,261,4,15339,0.0,0.04500000000000003
9,262,1,15398,0.0,0.02900000000000002
9,263,9,15457,0.0,0.017000000000000008
9,264,3,15516,0.0,0.03900000000000003
9,265,2,15575,0.0,0.05100000000000004
9,266,0,15634,0.0,0.047000000000000035
9,267,8,15693,0.0,0.012000000000000004
9,268,5,15752,0.0,0.0
9,269,3,15811,0.0,0.05400000000000004
9,270,9,15870,0.0,0.036000000000000025
9,271,9,15929,0.0,0.03300000000000002
9,272,4,15988,0.0,0.037000000000000026
9,273,6,16047,0.0,0.010000000000000002
9,274,3,16106,0.0,0.022000000000000013
9,275,8,16165,0.0,0.05000000000000004
9,276,4,16224,0.0,0.057000000000000044
9,277,3,16283,0.0,0.04900000000000004
9,278,8,16342,0.0,0.007
9,279,7,16401,0.0,0.027000000000000017
9,280,6,16460,0.0,0.047000000000000035
9,281,2,16519,0.0,0.015000000000000006
9,282,7,16578,0.0,0.017000000000000008
9,283,5,16637,0.0,0.0
9,284,6,16696,0.0,0.014000000000000005
9,285,5,16755,0.0,0.004
9,286,2,16814,0.0,0.028000000000000018
9,287,1,16873,0.0,0.03200000000000002
9,288,3,16932,0.0,0.04000000000000003
9,289,4,16991,0.0,0.035000000000000024
