steps,episodes,reward,% time spent exploring,mean 100 episode reward
81399,408,-200.0,9,-200.0
81599,409,-200.0,9,-200.0
81799,410,-200.0,9,-200.0
81999,411,-200.0,9,-200.0
82199,412,-200.0,9,-200.0
82399,413,-200.0,9,-200.0
82599,414,-200.0,9,-200.0
82799,415,-200.0,9,-200.0
82999,416,-200.0,9,-200.0
83199,417,-200.0,9,-200.0
83399,418,-200.0,9,-200.0
83599,419,-200.0,9,-200.0
83799,420,-200.0,9,-200.0
83999,421,-200.0,9,-200.0
84199,422,-200.0,9,-200.0
84399,423,-200.0,9,-200.0
84599,424,-200.0,9,-200.0
84799,425,-200.0,9,-200.0
84999,426,-200.0,9,-200.0
85199,427,-200.0,9,-200.0
85399,428,-200.0,9,-200.0
85599,429,-200.0,9,-200.0
85799,430,-200.0,9,-200.0
85999,431,-200.0,9,-200.0
86199,432,-200.0,9,-200.0
86399,433,-200.0,9,-200.0
86599,434,-200.0,9,-200.0
86799,435,-200.0,9,-200.0
86999,436,-200.0,9,-200.0
87199,437,-200.0,9,-200.0
87399,438,-200.0,9,-200.0
87599,439,-200.0,9,-200.0
87788,440,-189.0,9,-199.9
87988,441,-200.0,9,-199.9
88188,442,-200.0,9,-199.9
88388,443,-200.0,9,-199.9
88586,444,-198.0,9,-199.9
88786,445,-200.0,9,-199.9
88986,446,-200.0,9,-199.9
89171,447,-185.0,9,-199.7
89371,448,-200.0,9,-199.7
89551,449,-180.0,9,-199.5
89751,450,-200.0,9,-199.5
89951,451,-200.0,9,-199.5
90151,452,-200.0,9,-199.5
90351,453,-200.0,9,-199.5
90551,454,-200.0,9,-199.5
90751,455,-200.0,9,-199.5
90951,456,-200.0,9,-199.5
91151,457,-200.0,9,-199.5
91351,458,-200.0,9,-199.5
91520,459,-169.0,9,-199.2
91720,460,-200.0,9,-199.2
91895,461,-175.0,9,-199.0
92095,462,-200.0,9,-199.0
92295,463,-200.0,9,-199.0
92495,464,-200.0,9,-199.0
92695,465,-200.0,9,-199.0
92895,466,-200.0,9,-199.0
93095,467,-200.0,9,-199.0
93295,468,-200.0,9,-199.0
93495,469,-200.0,9,-199.0
93695,470,-200.0,9,-199.0
93895,471,-200.0,9,-199.0
94095,472,-200.0,9,-199.0
94295,473,-200.0,9,-199.0
94495,474,-200.0,9,-199.0
94695,475,-200.0,9,-199.0
94895,476,-200.0,9,-199.0
95095,477,-200.0,9,-199.0
95295,478,-200.0,9,-199.0
95495,479,-200.0,9,-199.0
95695,480,-200.0,9,-199.0
95895,481,-200.0,9,-199.0
96095,482,-200.0,9,-199.0
96295,483,-200.0,9,-199.0
96495,484,-200.0,9,-199.0
96695,485,-200.0,9,-199.0
96895,486,-200.0,9,-199.0
97095,487,-200.0,9,-199.0
97295,488,-200.0,9,-199.0
97495,489,-200.0,9,-199.0
97695,490,-200.0,9,-199.0
97895,491,-200.0,9,-199.0
98095,492,-200.0,9,-199.0
98295,493,-200.0,9,-199.0
98495,494,-200.0,9,-199.0
98695,495,-200.0,9,-199.0
98895,496,-200.0,9,-199.0
99095,497,-200.0,9,-199.0
99295,498,-200.0,9,-199.0
99495,499,-200.0,9,-199.0
99695,500,-200.0,9,-199.0
99895,501,-200.0,9,-199.0
