episodes,reward,mean 100 episode reward,% time spent exploring,steps
141,0.003,0.0,36,15259
142,0.0,0.0,36,15368
143,0.0,0.0,36,15477
144,0.02100000000000001,0.0,35,15586
145,0.008,0.0,35,15695
146,0.027000000000000017,0.0,34,15804
147,0.0,0.0,34,15913
148,0.006,0.0,33,16022
149,0.011000000000000003,0.0,33,16131
150,0.037000000000000026,0.0,32,16240
151,0.007,0.0,32,16349
152,0.001,0.0,32,16458
153,0.0,0.0,31,16567
154,0.002,0.0,31,16676
155,0.008,0.0,30,16785
156,0.002,0.0,30,16894
157,0.011000000000000003,0.0,29,17003
158,0.026000000000000016,0.0,29,17112
159,0.003,0.0,28,17221
160,0.003,0.0,28,17330
161,0.001,0.0,27,17439
162,0.003,0.0,27,17548
163,0.001,0.0,27,17657
164,0.010000000000000002,0.0,26,17766
165,0.008,0.0,26,17875
166,0.002,0.0,25,17984
167,0.006,0.0,25,18093
168,0.017000000000000008,0.0,24,18202
169,0.07700000000000005,0.0,24,18311
170,0.04500000000000003,0.0,23,18420
171,0.03000000000000002,0.0,23,18529
172,0.005,0.0,23,18638
173,0.002,0.0,22,18747
174,0.011000000000000003,0.0,22,18856
175,0.005,0.0,21,18965
176,0.007,0.0,21,19074
177,0.004,0.0,20,19183
178,0.003,0.0,20,19292
179,0.003,0.0,19,19401
180,0.001,0.0,19,19510
181,0.0,0.0,18,19619
182,0.001,0.0,18,19728
183,0.001,0.0,18,19837
184,0.0,0.0,17,19946
185,0.007,0.0,17,20055
186,0.003,0.0,16,20164
187,0.009000000000000001,0.0,16,20273
188,0.003,0.0,15,20382
189,0.0,0.0,15,20491
190,0.03100000000000002,0.0,14,20600
191,0.04500000000000003,0.0,14,20709
192,0.01900000000000001,0.0,14,20818
193,0.013000000000000005,0.0,13,20927
194,0.02100000000000001,0.0,13,21036
195,0.07600000000000005,0.0,12,21145
196,0.006,0.0,12,21254
197,0.08100000000000006,0.0,11,21363
198,0.04900000000000004,0.0,11,21472
199,0.06600000000000004,0.0,10,21581
200,0.03400000000000002,0.0,10,21690
201,0.004,0.0,9,21799
202,0.004,0.0,9,21908
203,0.006,0.0,9,22017
204,0.0,0.0,9,22126
205,0.03000000000000002,0.0,9,22235
206,0.03100000000000002,0.0,9,22344
