reward,episodes,mean 100 episode reward,% time spent exploring,steps
-200.0,116,-200.0,10,22999
-200.0,117,-200.0,10,23199
-200.0,118,-200.0,10,23399
-200.0,119,-200.0,10,23599
-200.0,120,-200.0,10,23799
-200.0,121,-200.0,10,23999
-200.0,122,-200.0,10,24199
-200.0,123,-200.0,10,24399
-200.0,124,-200.0,10,24599
-200.0,125,-200.0,10,24799
-200.0,126,-200.0,10,24999
-200.0,127,-200.0,10,25199
-200.0,128,-200.0,10,25399
-200.0,129,-200.0,10,25599
-200.0,130,-200.0,10,25799
-200.0,131,-200.0,10,25999
-200.0,132,-200.0,10,26199
-200.0,133,-200.0,10,26399
-200.0,134,-200.0,10,26599
-200.0,135,-200.0,10,26799
-200.0,136,-200.0,10,26999
-200.0,137,-200.0,10,27199
-200.0,138,-200.0,10,27399
-200.0,139,-200.0,10,27599
-200.0,140,-200.0,10,27799
-200.0,141,-200.0,10,27999
-200.0,142,-200.0,10,28199
-200.0,143,-200.0,10,28399
-200.0,144,-200.0,10,28599
-200.0,145,-200.0,10,28799
-200.0,146,-200.0,10,28999
-200.0,147,-200.0,10,29199
-200.0,148,-200.0,10,29399
-200.0,149,-200.0,10,29599
-200.0,150,-200.0,10,29799
-200.0,151,-200.0,10,29999
-200.0,152,-200.0,10,30199
-200.0,153,-200.0,10,30399
-200.0,154,-200.0,10,30599
-200.0,155,-200.0,10,30799
-200.0,156,-200.0,10,30999
-200.0,157,-200.0,10,31199
-200.0,158,-200.0,10,31399
-200.0,159,-200.0,10,31599
-200.0,160,-200.0,10,31799
-200.0,161,-200.0,10,31999
-200.0,162,-200.0,10,32199
-200.0,163,-200.0,10,32399
-200.0,164,-200.0,10,32599
-200.0,165,-200.0,10,32799
-200.0,166,-200.0,10,32999
-200.0,167,-200.0,10,33199
-200.0,168,-200.0,10,33399
-200.0,169,-200.0,10,33599
-200.0,170,-200.0,10,33799
-200.0,171,-200.0,10,33999
-200.0,172,-200.0,10,34199
-200.0,173,-200.0,10,34399
-200.0,174,-200.0,10,34599
-200.0,175,-200.0,10,34799
-200.0,176,-200.0,10,34999
-200.0,177,-200.0,10,35199
-200.0,178,-200.0,10,35399
-200.0,179,-200.0,10,35599
-200.0,180,-200.0,10,35799
-200.0,181,-200.0,10,35999
-200.0,182,-200.0,10,36199
